pair	ocular_trait	systemic_trait	SUPERGNOVA_region	chr	region_start	region_end	SUPERGNOVA_rho	SUPERGNOVA_q	SUPERGNOVA_direction	hidden_mixed_pair	N_independent_PLACO_loci	N_positive_effect_loci	N_negative_effect_loci	N_direction_concordant	N_direction_discordant	concordant_fraction	directional_class	fine_mapping_readiness	lead_SNPs	PLACO_locus_ids
AMD-CAD	AMD	CAD	5:120963248-121481183	5	120963248	121481183	-0.0003562910341955	3.94366034897092e-06	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs11241627	AMD-CAD|chr5|rs11241627
AMD-CAD	AMD	CAD	7:98152191-100555361	7	98152191	100555361	-0.0003931385560226	0.0019213403806528	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs1133790	AMD-CAD|chr7|rs1133790
AMD-STROKE	AMD	STROKE	17:3426133-4321755	17	3426133	4321755	-0.0005152675087054	0.0044438131494795	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs2727074	AMD-STROKE|chr17|rs2727074
AMD-T2D	AMD	T2D	2:43309247-44048346	2	43309247	44048346	-0.0006783499484874	0.0314731563032679	NEGATIVE	True	4	0	4	4	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs1549723;rs6722743;rs6544658;rs11904510	AMD-T2D|chr2|rs1549723;AMD-T2D|chr2|rs6722743;AMD-T2D|chr2|rs6544658;AMD-T2D|chr2|rs11904510
AMD-T2D	AMD	T2D	17:3426133-4321755	17	3426133	4321755	-0.0006867881247124	0.0233068449962225	NEGATIVE	True	2	0	2	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs2278524;rs1076902	AMD-T2D|chr17|rs2278524;AMD-T2D|chr17|rs1076902
AMD-CKD	AMD	CKD	7:104158491-105425027	7	104158491	105425027	-0.0004883119291701	0.0109718453325452	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs6966728	AMD-CKD|chr7|rs6966728
AMD-PD	AMD	PD	2:68871710-70753882	2	68871710	70753882	-0.0005998845136309	0.0237098987773341	NEGATIVE	False	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
AMD-PD	AMD	PD	7:104158491-105425027	7	104158491	105425027	-0.0004907398412209	0.0204432661966933	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs2097942	AMD-PD|chr7|rs2097942
POAG-CAD	POAG	CAD	7:1493090-2479029	7	1493090	2479029	-0.0002053348962016	0.0237098987773341	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10278591	POAG-CAD|chr7|rs10278591
POAG-CAD	POAG	CAD	10:99554895-100240681	10	99554895	100240681	-0.0001791143295676	0.0261742807478925	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10883050	POAG-CAD|chr10|rs10883050
