PLACO_locus_id	pair	chr	lead_SNP	lead_BP	density_start	density_end	variant_count	unique_variant_count	beta_se_complete_count	p_complete_count	allele_complete_count	sample_size_complete_count	ambiguous_allele_count	reference_overlap_count	duplicate_variant_count	beta_se_fraction	p_complete_fraction	allele_complete_fraction	sample_size_complete_fraction	reference_coverage_fraction
AMD-CAD|chr12|rs848132	AMD-CAD	12	rs848132	111989979	110989979	112989979	378	378	378	378	378	378	0	378	0	1.0	1.0	1.0	1.0	1.0
AMD-CAD|chr12|rs7311681	AMD-CAD	12	rs7311681	112817847	111817847	113817847	529	529	529	529	529	529	0	529	0	1.0	1.0	1.0	1.0	1.0
AMD-CAD|chr12|rs4766453	AMD-CAD	12	rs4766453	111692124	110692124	112692124	387	387	387	387	387	387	0	387	0	1.0	1.0	1.0	1.0	1.0
AMD-CAD|chr12|rs12828640	AMD-CAD	12	rs12828640	111361298	110361298	112361298	386	386	386	386	386	386	0	386	0	1.0	1.0	1.0	1.0	1.0
AMD-CAD|chr16|rs7202877	AMD-CAD	16	rs7202877	75247245	74247245	76247245	686	686	686	686	686	686	0	686	0	1.0	1.0	1.0	1.0	1.0
AMD-CAD|chr16|rs4888432	AMD-CAD	16	rs4888432	75510973	74510973	76510973	771	771	771	771	771	771	0	771	0	1.0	1.0	1.0	1.0	1.0
AMD-CAD|chr5|rs11241627	AMD-CAD	5	rs11241627	121273302	120273302	122273302	695	695	695	695	695	695	0	695	0	1.0	1.0	1.0	1.0	1.0
AMD-CAD|chr7|rs1133790	AMD-CAD	7	rs1133790	99632982	98632982	100632982	514	514	514	514	514	514	0	514	0	1.0	1.0	1.0	1.0	1.0
AMD-CKD|chr12|rs653178	AMD-CKD	12	rs653178	112007756	111007756	113007756	384	384	384	384	384	384	0	384	0	1.0	1.0	1.0	1.0	1.0
AMD-CKD|chr7|rs6966728	AMD-CKD	7	rs6966728	104618318	103618318	105618318	855	855	855	855	855	855	0	855	0	1.0	1.0	1.0	1.0	1.0
AMD-PD|chr7|rs2097942	AMD-PD	7	rs2097942	104725105	103725105	105725105	876	876	876	876	876	876	0	876	0	1.0	1.0	1.0	1.0	1.0
AMD-STROKE|chr12|rs653178	AMD-STROKE	12	rs653178	112007756	111007756	113007756	385	385	385	385	385	385	0	385	0	1.0	1.0	1.0	1.0	1.0
AMD-STROKE|chr12|rs7311681	AMD-STROKE	12	rs7311681	112817847	111817847	113817847	535	535	535	535	535	535	0	535	0	1.0	1.0	1.0	1.0	1.0
AMD-STROKE|chr12|rs4378452	AMD-STROKE	12	rs4378452	111504033	110504033	112504033	393	393	393	393	393	393	0	393	0	1.0	1.0	1.0	1.0	1.0
AMD-STROKE|chr17|rs2727074	AMD-STROKE	17	rs2727074	3994670	2994670	4994670	914	914	914	914	914	914	0	914	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr17|rs2278524	AMD-T2D	17	rs2278524	4081975	3081975	5081975	896	896	896	896	896	896	0	896	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr17|rs1076902	AMD-T2D	17	rs1076902	3828822	2828822	4828822	929	929	929	929	929	929	0	929	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr2|rs1549723	AMD-T2D	2	rs1549723	43460514	42460514	44460514	894	894	894	894	894	894	0	894	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr2|rs6722743	AMD-T2D	2	rs6722743	43095988	42095988	44095988	926	926	926	926	926	926	0	926	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr2|rs6544658	AMD-T2D	2	rs6544658	43652117	42652117	44652117	897	897	897	897	897	897	0	897	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr2|rs11904510	AMD-T2D	2	rs11904510	43797710	42797710	44797710	928	928	928	928	928	928	0	928	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr4|rs11734396	AMD-T2D	4	rs11734396	104022110	103022110	105022110	639	639	639	639	639	639	0	639	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr5|rs34358	AMD-T2D	5	rs34358	74965122	73965122	75965122	805	805	805	805	805	805	0	805	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr7|rs7776707	AMD-T2D	7	rs7776707	104605530	103605530	105605530	850	850	850	850	850	850	0	850	0	1.0	1.0	1.0	1.0	1.0
AMD-T2D|chr7|rs4460308	AMD-T2D	7	rs4460308	104420060	103420060	105420060	886	886	886	886	886	886	0	886	0	1.0	1.0	1.0	1.0	1.0
CAT-AD|chr1|rs34626131	CAT-AD	1	rs34626131	207880977	206880977	208880977	3939	3939	3939	3939	3939	3939	0	2747	0	1.0	1.0	1.0	1.0	0.6973851231276974
CAT-AD|chr1|rs200114063	CAT-AD	1	rs200114063	207385580	206385580	208385580	3531	3531	3531	3531	3531	3531	0	2512	0	1.0	1.0	1.0	1.0	0.7114131973945058
CAT-AD|chr11|rs558678	CAT-AD	11	rs558678	59852113	58852113	60852113	3799	3799	3799	3799	3799	3799	0	2716	0	1.0	1.0	1.0	1.0	0.7149249802579626
CAT-AD|chr11|rs76834192	CAT-AD	11	rs76834192	59766312	58766312	60766312	3806	3806	3806	3806	3806	3806	0	2702	0	1.0	1.0	1.0	1.0	0.7099316868102995
CAT-AD|chr11|rs4939330	CAT-AD	11	rs4939330	60049407	59049407	61049407	3687	3687	3687	3687	3687	3687	0	2631	0	1.0	1.0	1.0	1.0	0.7135882831570383
CAT-AD|chr2|rs140750546	CAT-AD	2	rs140750546	203863736	202863736	204863736	3025	3025	3025	3025	3025	3025	0	2117	0	1.0	1.0	1.0	1.0	0.6998347107438017
CAT-AD|chr2|rs10209020	CAT-AD	2	rs10209020	27980944	26980944	28980944	3110	3110	3110	3110	3110	3110	0	2323	0	1.0	1.0	1.0	1.0	0.7469453376205788
CAT-AD|chr7|rs1617502	CAT-AD	7	rs1617502	99809835	98809835	100809835	2817	2817	2817	2817	2817	2817	0	1889	0	1.0	1.0	1.0	1.0	0.6705715299964501
CAT-CAD|chr1|rs2938154	CAT-CAD	1	rs2938154	176385265	175385265	177385265	832	832	832	832	832	832	0	785	0	1.0	1.0	1.0	1.0	0.9435096153846154
CAT-CAD|chr11|rs10502145	CAT-CAD	11	rs10502145	111525069	110525069	112525069	827	827	827	827	827	827	0	772	0	1.0	1.0	1.0	1.0	0.9334945586457074
CAT-CAD|chr16|rs3851734	CAT-CAD	16	rs3851734	75371920	74371920	76371920	780	780	780	780	780	780	0	707	0	1.0	1.0	1.0	1.0	0.9064102564102564
CAT-CKD|chr17|rs12936927	CAT-CKD	17	rs12936927	17726965	16726965	18726965	3220	3220	3220	3220	3220	3220	0	2426	0	1.0	1.0	1.0	1.0	0.753416149068323
CAT-PD|chr17|rs4566208	CAT-PD	17	rs4566208	16010920	15010920	17010920	681	681	681	681	681	681	0	599	0	1.0	1.0	1.0	1.0	0.8795888399412628
CAT-STROKE|chr10|rs4750356	CAT-STROKE	10	rs4750356	13480789	12480789	14480789	1472	1472	1472	1472	1472	1472	0	1376	0	1.0	1.0	1.0	1.0	0.9347826086956522
CAT-STROKE|chr17|rs11870660	CAT-STROKE	17	rs11870660	17877096	16877096	18877096	655	655	655	655	655	655	0	605	0	1.0	1.0	1.0	1.0	0.9236641221374046
CAT-T2D|chr17|rs8079321	CAT-T2D	17	rs8079321	17760789	16760789	18760789	3170	3170	3170	3170	3170	3170	0	2349	0	1.0	1.0	1.0	1.0	0.7410094637223975
CAT-T2D|chr17|rs1057902	CAT-T2D	17	rs1057902	47005588	46005588	48005588	3733	3733	3733	3733	3733	3733	0	2821	0	1.0	1.0	1.0	1.0	0.7556924725421913
CAT-T2D|chr17|rs75035298	CAT-T2D	17	rs75035298	17473014	16473014	18473014	3252	3252	3252	3252	3252	3252	0	2427	0	1.0	1.0	1.0	1.0	0.746309963099631
CAT-T2D|chr2|rs72790940	CAT-T2D	2	rs72790940	43768545	42768545	44768545	4551	4551	4551	4551	4551	4551	0	3608	0	1.0	1.0	1.0	1.0	0.7927927927927928
CAT-T2D|chr22|rs3747207	CAT-T2D	22	rs3747207	44324855	43324855	45324855	6319	6319	6319	6319	6319	6319	0	4802	0	1.0	1.0	1.0	1.0	0.7599303687292293
CAT-T2D|chr4|rs62283057	CAT-T2D	4	rs62283057	6276805	5276805	7276805	6071	6071	6071	6071	6071	6071	0	4502	0	1.0	1.0	1.0	1.0	0.7415582276395981
CAT-T2D|chr4|rs228631	CAT-T2D	4	rs228631	103573863	102573863	104573863	3817	3817	3817	3817	3817	3817	0	3063	0	1.0	1.0	1.0	1.0	0.8024626670159811
CAT-T2D|chr4|rs1509946	CAT-T2D	4	rs1509946	95109078	94109078	96109078	4402	4402	4402	4402	4402	4402	0	3098	0	1.0	1.0	1.0	1.0	0.7037710131758291
CAT-T2D|chr4|rs2269920	CAT-T2D	4	rs2269920	6323454	5323454	7323454	5993	5993	5993	5993	5993	5993	0	4585	0	1.0	1.0	1.0	1.0	0.765059235775071
POAG-CAD|chr10|rs10883050	POAG-CAD	10	rs10883050	99943568	98943568	100943568	832	832	832	832	832	832	0	832	0	1.0	1.0	1.0	1.0	1.0
POAG-CAD|chr16|rs999675	POAG-CAD	16	rs999675	75306402	74306402	76306402	699	699	699	699	699	699	0	699	0	1.0	1.0	1.0	1.0	1.0
POAG-CAD|chr17|rs7217226	POAG-CAD	17	rs7217226	2136065	1136065	3136065	838	838	838	838	838	838	0	838	0	1.0	1.0	1.0	1.0	1.0
POAG-CAD|chr17|rs9894634	POAG-CAD	17	rs9894634	1967501	967501	2967501	829	829	829	829	829	829	0	829	0	1.0	1.0	1.0	1.0	1.0
POAG-CAD|chr7|rs10278591	POAG-CAD	7	rs10278591	1921362	921362	2921362	740	740	740	740	740	740	0	740	0	1.0	1.0	1.0	1.0	1.0
POAG-CKD|chr4|rs11100780	POAG-CKD	4	rs11100780	144104906	143104906	145104906	531	531	531	531	531	531	0	531	0	1.0	1.0	1.0	1.0	1.0
POAG-STROKE|chr4|rs7670439	POAG-STROKE	4	rs7670439	144080267	143080267	145080267	536	536	536	536	536	536	0	536	0	1.0	1.0	1.0	1.0	1.0
POAG-T2D|chr16|rs10903013	POAG-T2D	16	rs10903013	312253	1	1312253	499	499	499	499	499	499	0	499	0	1.0	1.0	1.0	1.0	1.0
POAG-T2D|chr9|rs10818834	POAG-T2D	9	rs10818834	126317324	125317324	127317324	693	693	693	693	693	693	0	693	0	1.0	1.0	1.0	1.0	1.0
