pair	ocular_trait	systemic_trait	SUPERGNOVA_region	chr	region_start	region_end	SUPERGNOVA_rho	SUPERGNOVA_q	SUPERGNOVA_direction	hidden_mixed_pair	N_independent_PLACO_loci	N_positive_effect_loci	N_negative_effect_loci	N_direction_concordant	N_direction_discordant	concordant_fraction	directional_class	fine_mapping_readiness	lead_SNPs	PLACO_locus_ids
AMD-CAD	AMD	CAD	5:120963248-121481183	5	120963248	121481183	-0.0003562910341955	3.94366034897092e-06	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs11241627	AMD-CAD|chr5|rs11241627
AMD-CAD	AMD	CAD	7:98152191-100555361	7	98152191	100555361	-0.0003931385560226	0.0019213403806528	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs1133790	AMD-CAD|chr7|rs1133790
AMD-CAD	AMD	CAD	12:110112932-113027651	12	110112932	113027651	0.0006148989548753	0.0010233564042257	POSITIVE	True	4	4	0	4	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs848132;rs7311681;rs4766453;rs12828640	AMD-CAD|chr12|rs848132;AMD-CAD|chr12|rs7311681;AMD-CAD|chr12|rs4766453;AMD-CAD|chr12|rs12828640
AMD-CAD	AMD	CAD	16:74730819-75517115	16	74730819	75517115	0.000652618425972	0.0044438131494795	POSITIVE	True	2	2	0	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs7202877;rs4888432	AMD-CAD|chr16|rs7202877;AMD-CAD|chr16|rs4888432
AMD-STROKE	AMD	STROKE	12:110112932-113027651	12	110112932	113027651	0.0006560101076822	0.0196335024289898	POSITIVE	True	3	3	0	3	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs653178;rs7311681;rs4378452	AMD-STROKE|chr12|rs653178;AMD-STROKE|chr12|rs7311681;AMD-STROKE|chr12|rs4378452
AMD-STROKE	AMD	STROKE	17:3426133-4321755	17	3426133	4321755	-0.0005152675087054	0.0044438131494795	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs2727074	AMD-STROKE|chr17|rs2727074
AMD-T2D	AMD	T2D	2:43309247-44048346	2	43309247	44048346	-0.0006783499484874	0.0314731563032679	NEGATIVE	True	4	0	4	4	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs1549723;rs6722743;rs6544658;rs11904510	AMD-T2D|chr2|rs1549723;AMD-T2D|chr2|rs6722743;AMD-T2D|chr2|rs6544658;AMD-T2D|chr2|rs11904510
AMD-T2D	AMD	T2D	4:103388441-104802530	4	103388441	104802530	0.0004845007260895	0.0028273431483929	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs11734396	AMD-T2D|chr4|rs11734396
AMD-T2D	AMD	T2D	5:73508509-75240469	5	73508509	75240469	0.0005999634302436	0.0264300987291456	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs34358	AMD-T2D|chr5|rs34358
AMD-T2D	AMD	T2D	7:104158491-105425027	7	104158491	105425027	0.0005962144578605	0.0268116779227324	POSITIVE	True	2	2	0	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs7776707;rs4460308	AMD-T2D|chr7|rs7776707;AMD-T2D|chr7|rs4460308
