pair	ocular_trait	systemic_trait	SUPERGNOVA_region	chr	region_start	region_end	SUPERGNOVA_rho	SUPERGNOVA_q	SUPERGNOVA_direction	hidden_mixed_pair	N_independent_PLACO_loci	N_positive_effect_loci	N_negative_effect_loci	N_direction_concordant	N_direction_discordant	concordant_fraction	directional_class	fine_mapping_readiness	lead_SNPs	PLACO_locus_ids
AMD-CAD	AMD	CAD	12:110112932-113027651	12	110112932	113027651	0.0006148989548753	0.0010233564042257	POSITIVE	True	4	4	0	4	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs848132;rs7311681;rs4766453;rs12828640	AMD-CAD|chr12|rs848132;AMD-CAD|chr12|rs7311681;AMD-CAD|chr12|rs4766453;AMD-CAD|chr12|rs12828640
AMD-CAD	AMD	CAD	16:74730819-75517115	16	74730819	75517115	0.000652618425972	0.0044438131494795	POSITIVE	True	2	2	0	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs7202877;rs4888432	AMD-CAD|chr16|rs7202877;AMD-CAD|chr16|rs4888432
AMD-STROKE	AMD	STROKE	12:110112932-113027651	12	110112932	113027651	0.0006560101076822	0.0196335024289898	POSITIVE	True	3	3	0	3	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs653178;rs7311681;rs4378452	AMD-STROKE|chr12|rs653178;AMD-STROKE|chr12|rs7311681;AMD-STROKE|chr12|rs4378452
AMD-T2D	AMD	T2D	4:103388441-104802530	4	103388441	104802530	0.0004845007260895	0.0028273431483929	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs11734396	AMD-T2D|chr4|rs11734396
AMD-T2D	AMD	T2D	5:73508509-75240469	5	73508509	75240469	0.0005999634302436	0.0264300987291456	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs34358	AMD-T2D|chr5|rs34358
AMD-T2D	AMD	T2D	7:104158491-105425027	7	104158491	105425027	0.0005962144578605	0.0268116779227324	POSITIVE	True	2	2	0	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs7776707;rs4460308	AMD-T2D|chr7|rs7776707;AMD-T2D|chr7|rs4460308
AMD-CKD	AMD	CKD	12:110112932-113027651	12	110112932	113027651	0.0004688619412696	0.0196335024289898	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs653178	AMD-CKD|chr12|rs653178
POAG-CKD	POAG	CKD	1:154547292-156334116	1	154547292	156334116	0.0003302425462261	0.0472529339623195	POSITIVE	True	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
CAT-CAD	CAT	CAD	1:175385076-176416712	1	175385076	176416712	0.000104141607862	0.0110084032525461	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs2938154	CAT-CAD|chr1|rs2938154
CAT-CAD	CAT	CAD	7:98152191-100555361	7	98152191	100555361	0.0001082123379972	0.0314731563032679	POSITIVE	False	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
CAT-CAD	CAT	CAD	11:110702636-111981853	11	110702636	111981853	0.0001328932334462	0.0004989598572819	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10502145	CAT-CAD|chr11|rs10502145
CAT-CAD	CAT	CAD	16:74730819-75517115	16	74730819	75517115	0.0001129640486781	0.0237098987773341	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs3851734	CAT-CAD|chr16|rs3851734
CAT-STROKE	CAT	STROKE	17:17299591-18446092	17	17299591	18446092	0.0001787233093715	0.0196335024289898	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs11870660	CAT-STROKE|chr17|rs11870660
CAT-T2D	CAT	T2D	4:5971634-7135912	4	5971634	7135912	0.0003972937806551	2.0594244705074573e-05	POSITIVE	False	2	2	0	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs62283057;rs2269920	CAT-T2D|chr4|rs62283057;CAT-T2D|chr4|rs2269920
CAT-T2D	CAT	T2D	4:103388441-104802530	4	103388441	104802530	0.0001431518936158	0.0472529339623195	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs228631	CAT-T2D|chr4|rs228631
CAT-T2D	CAT	T2D	17:17299591-18446092	17	17299591	18446092	0.0002213939581042	0.0008228868786915	POSITIVE	False	2	2	0	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs8079321;rs75035298	CAT-T2D|chr17|rs8079321;CAT-T2D|chr17|rs75035298
CAT-T2D	CAT	T2D	17:46828412-48027295	17	46828412	48027295	0.0002228325466513	0.0314731563032679	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs1057902	CAT-T2D|chr17|rs1057902
CAT-AD	CAT	AD	2:26894589-28597305	2	26894589	28597305	0.0001155461760498	0.0472529339623195	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10209020	CAT-AD|chr2|rs10209020
CAT-AD	CAT	AD	2:202830132-204814896	2	202830132	204814896	0.0001276638548397	0.0472529339623195	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs140750546	CAT-AD|chr2|rs140750546
