tier	pair	hidden_mixed_pair	chr	region_start	region_end	SUPERGNOVA_rho	SUPERGNOVA_q	PLACO_locus_id	lead_SNP	lead_BP	PLACO_P	PLACO_q	beta_ocular	beta_systemic	effect_product	directional_status	N_independent_loci_in_region	fine_mapping_readiness	LD_reference_status	Finnish_LD_flag
TIER A2	AMD-CAD	True	5	120963248	121481183	-0.0003562910341955	3.94366034897092e-06	AMD-CAD|chr5|rs11241627	rs11241627	121273302.0	1.32729e-10	2.2740564239448013e-06	0.116362	-0.03729699	-0.00433995235038	DIRECTION_CONCORDANT	1	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	0.0019213403806528	AMD-CAD|chr7|rs1133790	rs1133790	99632982.0	3.07309e-07	0.0013609597448153	0.0852516	-0.0223236	-0.0019031226177599998	DIRECTION_CONCORDANT	1	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-CKD	True	7	104158491	105425027	-0.0004883119291701	0.0109718453325452	AMD-CKD|chr7|rs6966728	rs6966728	104618318.0	3.78157e-07	0.0016127864446326	0.120403	-0.0215	-0.0025886645	DIRECTION_CONCORDANT	1	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-PD	False	7	104158491	105425027	-0.0004907398412209	0.0204432661966933	AMD-PD|chr7|rs2097942	rs2097942	104725105.0	3.27121e-07	0.0014294957819376	0.117295	-0.054	-0.00633393	DIRECTION_CONCORDANT	1	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-STROKE	True	17	3426133	4321755	-0.0005152675087054	0.0044438131494795	AMD-STROKE|chr17|rs2727074	rs2727074	3994670.0	1.56466e-06	0.0051948475703604	0.0596245	-0.0339	-0.00202127055	DIRECTION_CONCORDANT	1	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-T2D	True	2	43309247	44048346	-0.0006783499484874	0.0314731563032679	AMD-T2D|chr2|rs1549723	rs1549723	43460514.0	3.81017e-08	0.0002526931900168	0.0699072	-0.0581	-0.00406160832	DIRECTION_CONCORDANT	4	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-T2D	True	2	43309247	44048346	-0.0006783499484874	0.0314731563032679	AMD-T2D|chr2|rs6722743	rs6722743	43095988.0	8.80646e-07	0.0032481907085514	-0.0790683	0.0279	-0.00220600557	DIRECTION_CONCORDANT	4	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-T2D	True	2	43309247	44048346	-0.0006783499484874	0.0314731563032679	AMD-T2D|chr2|rs6544658	rs6544658	43652117.0	1.61168e-05	0.02798192904912	0.0389886	-0.0423	-0.0016492177799999998	DIRECTION_CONCORDANT	4	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-T2D	True	2	43309247	44048346	-0.0006783499484874	0.0314731563032679	AMD-T2D|chr2|rs11904510	rs11904510	43797710.0	3.17214e-05	0.044640487857605	0.0422936	-0.04	-0.001691744	DIRECTION_CONCORDANT	4	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-T2D	True	17	3426133	4321755	-0.0006867881247124	0.0233068449962225	AMD-T2D|chr17|rs2278524	rs2278524	4081975.0	1.05736e-08	8.569379518364686e-05	-0.0643844	0.0501	-0.0032256584399999997	DIRECTION_CONCORDANT	2	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	AMD-T2D	True	17	3426133	4321755	-0.0006867881247124	0.0233068449962225	AMD-T2D|chr17|rs1076902	rs1076902	3828822.0	4.47666e-06	0.0113824076215824	-0.0987442	0.0549	-0.00542105658	DIRECTION_CONCORDANT	2	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
TIER A2	CAT-AD	True	1	206706419	208158787	-0.0002848402193571	0.0002752403888758	CAT-AD|chr1|rs34626131	rs34626131	207880977.0	2.68985e-09	2.7863083493360047e-05	0.0396022	-0.0438	-0.00173457636	DIRECTION_CONCORDANT	2	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-AD	True	1	206706419	208158787	-0.0002848402193571	0.0002752403888758	CAT-AD|chr1|rs200114063	rs200114063	207385580.0	4.86191e-07	0.0019984021765483	-0.0335474	0.0305	-0.0010231957	DIRECTION_CONCORDANT	2	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-AD	True	7	98152191	100555361	-0.0001423302020509	0.0392017080189121	CAT-AD|chr7|rs1617502	rs1617502	99809835.0	3.19679e-06	0.0089205116100095	-0.0178238	0.0555	-0.0009892209	DIRECTION_CONCORDANT	1	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-AD	True	11	59620206	61870732	-0.0002600201408	0.0062177629514779	CAT-AD|chr11|rs558678	rs558678	59852113.0	1.52642e-10	2.5633615320942207e-06	0.0293797	-0.0661	-0.0019419981700000003	DIRECTION_CONCORDANT	3	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-AD	True	11	59620206	61870732	-0.0002600201408	0.0062177629514779	CAT-AD|chr11|rs76834192	rs76834192	59766312.0	1.00216e-05	0.0200649726307319	-0.0378621	0.074	-0.0028017954	DIRECTION_CONCORDANT	3	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-AD	True	11	59620206	61870732	-0.0002600201408	0.0062177629514779	CAT-AD|chr11|rs4939330	rs4939330	60049407.0	1.45482e-05	0.0260399231812906	0.0257545	-0.0479	-0.00123364055	DIRECTION_CONCORDANT	3	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-CKD	False	17	17299591	18446092	-0.0001709140077804	0.0023788345085109	CAT-CKD|chr17|rs12936927	rs12936927	17726965.0	1.7894e-06	0.0057788521932764	-0.0340341	0.0348	-0.0011843866799999998	DIRECTION_CONCORDANT	1	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-PD	False	17	14860784	16319512	-0.0004103230473073	3.275789704560942e-06	CAT-PD|chr17|rs4566208	rs4566208	16010920.0	3.62852e-11	7.858117000291832e-07	0.0349106	-0.0957	-0.00334094442	DIRECTION_CONCORDANT	1	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-STROKE	True	10	12799286	13718384	-0.0002443768914323	0.0205537196823386	CAT-STROKE|chr10|rs4750356	rs4750356	13480789.0	2.23671e-06	0.0068799431988012	-0.0289314	0.0254	-0.0007348575599999999	DIRECTION_CONCORDANT	1	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-T2D	False	2	43309247	44048346	-0.0001797901249829	0.0341899133486484	CAT-T2D|chr2|rs72790940	rs72790940	43768545.0	1.21812e-06	0.0042308289968227	0.0224994	-0.0806	-0.00181345164	DIRECTION_CONCORDANT	1	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-T2D	False	4	94230511	95596188	-0.0001375879505063	0.0472529339623195	CAT-T2D|chr4|rs1509946	rs1509946	95109078.0	2.45822e-07	0.0011398493841337	0.0221912	-0.0386	-0.0008565803200000001	DIRECTION_CONCORDANT	1	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	CAT-T2D	False	22	44317416	44818986	-0.0002150881090289	0.0024280460328743	CAT-T2D|chr22|rs3747207	rs3747207	44324855.0	4.96121e-08	0.0003084028638052	-0.030814	0.0435	-0.0013404089999999999	DIRECTION_CONCORDANT	1	CONDITIONAL	FINNISH_LD_REQUIRED	FINNISH_LD_SENSITIVITY_REQUIRED
TIER A2	POAG-CAD	False	7	1493090	2479029	-0.0002053348962016	0.0237098987773341	POAG-CAD|chr7|rs10278591	rs10278591	1921362.0	1.04602e-07	0.0005677148268236	0.0603	-0.03327771	-0.0020066459130000003	DIRECTION_CONCORDANT	1	CONDITIONAL	EUR_REFERENCE_AVAILABLE_ORGANIZATIONAL_ONLY	NO
