ocular_trait	systemic_trait	pair	region_id	chr	start	end	rho	var	SE_rho	Z_rho	P_rho	q_atlas	q_pair	bonferroni_p_atlas	h2_ocular	h2_systemic	local_corr	m	direction	input_status	numerical_status
AMD	CAD	AMD-CAD	1:3066761-3679461	1	3066761	3679461	0.0001284379273755	6.593178778835971e-09	8.11983914793635e-05	1.5817792081280624	0.1136999831203464	0.9999817917056351	0.999441666254357	1.0	-7.456459477796043e-05	0.0001297401270508	nan	289	POSITIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:1103150-2320702	1	1103150	2320702	0.0001267618029824	8.100248596132123e-09	9.000138107902635e-05	1.4084428645722216	0.1589999741250229	0.9999817917056351	0.999441666254357	1.0	0.0001609956031941	0.0001387874929185	0.8480202726960896	358	POSITIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:2321099-3065568	1	2321099	3065568	1.267077676694243e-05	4.400314080959579e-09	6.633486323917145e-05	0.19101232968940834	0.8485159333169338	0.9999817917056351	0.999441666254357	1.0	0.0001523917463776	8.54363645642702e-05	0.1110455441218296	235	POSITIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:3679775-4749076	1	3679775	4749076	3.386479694712848e-05	9.365664440573351e-09	9.677636302617159e-05	0.3499283904476788	0.7263924399087046	0.9999817917056351	0.999441666254357	1.0	0.0003104048503834	-1.9202304200721647e-05	nan	633	POSITIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:4750013-5000086	1	4750013	5000086	-3.783960794998816e-05	2.4565063740744952e-09	4.956315540877614e-05	-0.7634624478184031	0.4451876495110626	0.9999817917056351	0.999441666254357	1.0	-2.7335914898544712e-05	-3.964905179271643e-06	nan	168	NEGATIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:7245922-7604778	1	7245922	7604778	0.0001096212400703	2.920079739035092e-09	5.403776215791224e-05	2.0286043628149986	0.0424986038423558	0.9999817917056351	0.999441666254357	1.0	6.377985954636095e-05	4.137552764137115e-05	2.133934863357177	205	POSITIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:5000970-5471517	1	5000970	5471517	2.2905288067613825e-05	4.376899704031998e-09	6.615814163073203e-05	0.346220245959475	0.7291772004605799	0.9999817917056351	0.999441666254357	1.0	-0.0003053074948025	-5.464461612629719e-07	nan	301	POSITIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:5472626-6133700	1	5472626	6133700	1.024373106082773e-05	4.879571797479784e-09	6.985393186843375e-05	0.14664501749337838	0.8834122189460415	0.9999817917056351	0.999441666254357	1.0	-1.415119893940878e-05	-1.689404652828612e-05	nan	338	POSITIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:6134990-7245669	1	6134990	7245669	4.665463042919972e-06	5.894855890085926e-09	7.677796487330154e-05	0.06076565132481548	0.9515458460204106	0.9999817917056351	0.999441666254357	1.0	7.308154081754001e-06	-1.6868923209922994e-05	nan	446	POSITIVE	PASS	PASS
AMD	CAD	AMD-CAD	1:7604831-9067142	1	7604831	9067142	-4.587369991843041e-05	7.025411977104773e-09	8.381773068453221e-05	-0.5473030532297145	0.5841705465800218	0.9999817917056351	0.999441666254357	1.0	0.0004387643086844	6.454356538480674e-05	-0.2725973608799279	512	NEGATIVE	PASS	PASS
