pair	chr	start	end	selection_source	h2_ocular_abs_diff	h2_systemic_abs_diff	rho_original	rho_flipped	rho_sign_reversal	abs_rho_abs_diff	P_original	P_flipped	P_abs_diff	status	reason
AMD-CAD	14	92099719	93378838	random_per_pair	0.0	0.0	5.202311294660468e-05	-5.202311294660468e-05	PASS	0.0	0.5053026831378158	0.5053026831378158	0.0	PASS	
AMD-CAD	20	54321811	55431836	random_per_pair	0.0	0.0	3.612221449616221e-06	-3.612221449616221e-06	PASS	0.0	0.9590815103566056	0.9590815103566056	0.0	PASS	
AMD-CAD	5	120963248	121481183	high_signal_atlas	0.0	0.0	-0.0003562910341955	0.0003562910341955	PASS	0.0	2.8871543381601735e-10	2.8871543381601735e-10	0.0	PASS	
AMD-CAD	12	110112932	113027651	high_signal_atlas	0.0	0.0	0.0006148989548753	-0.0006148989548753	PASS	0.0	1.997865008981876e-07	1.997865008981876e-07	0.0	PASS	
AMD-CAD	7	98152191	100555361	high_signal_atlas	0.0	0.0	-0.0003931385560226	0.0003931385560226	PASS	0.0	4.688711944586995e-07	4.688711944586995e-07	0.0	PASS	
AMD-CAD	16	74730819	75517115	high_signal_atlas	0.0	0.0	0.000652618425972	-0.000652618425972	PASS	0.0	1.602331983473928e-06	1.602331983473928e-06	0.0	PASS	
AMD-STROKE	2	11652795	12720977	random_per_pair	0.0	0.0	-4.9648190828586165e-05	4.9648190828586165e-05	PASS	0.0	0.6679246983638067	0.6679246983638067	0.0	PASS	
AMD-STROKE	15	38805185	39518563	random_per_pair	0.0	0.0	-1.0262666832062104e-05	1.0262666832062104e-05	PASS	0.0	0.9084696016984144	0.9084696016984144	0.0	PASS	
AMD-STROKE	17	3426133	4321755	high_signal_atlas	0.0	0.0	-0.0005152675087054	0.0005152675087054	PASS	0.0	1.626658139542996e-06	1.626658139542996e-06	0.0	PASS	
AMD-T2D	2	125741434	127372889	random_per_pair	0.0	0.0	1.668380967025434e-05	-1.668380967025434e-05	PASS	0.0	0.8508013441671041	0.8508013441671041	0.0	PASS	
AMD-T2D	19	53538505	53899797	random_per_pair	0.0	0.0	-2.854924968566809e-05	2.854924968566809e-05	PASS	0.0	0.7067536681811093	0.7067536681811093	0.0	PASS	
AMD-T2D	4	103388441	104802530	high_signal_atlas	0.0	0.0	0.0004845007260895	-0.0004845007260895	PASS	0.0	8.969559502442232e-07	8.969559502442232e-07	0.0	PASS	
AMD-CKD	21	37305159	37868817	random_per_pair	0.0	0.0	0.0001280867186265	-0.0001280867186265	PASS	0.0	0.1264404130640958	0.1264404130640958	0.0	PASS	
AMD-CKD	10	117705146	118416795	random_per_pair	0.0	0.0	3.9087083302840815e-05	-3.9087083302840815e-05	PASS	0.0	0.7223841466014462	0.7223841466014462	0.0	PASS	
AMD-CKD	7	104158491	105425027	high_signal_atlas	0.0	0.0	-0.0004883119291701	0.0004883119291701	PASS	0.0	4.551744122535713e-06	4.551744122535713e-06	0.0	PASS	
AMD-CKD	12	110112932	113027651	high_signal_atlas	0.0	0.0	0.0004688619412696	-0.0004688619412696	PASS	0.0	9.370565782294758e-06	9.370565782294758e-06	0.0	PASS	
AMD-AD	20	57320545	58295563	random_per_pair	0.0	0.0	0.0001572079109124	-0.0001572079109124	PASS	0.0	0.1249358767960046	0.1249358767960046	0.0	PASS	
AMD-AD	16	83078959	83971446	random_per_pair	0.0	0.0	-2.596989939049848e-05	2.596989939049848e-05	PASS	0.0	0.844518092809601	0.844518092809601	0.0	PASS	
AMD-PD	4	139553359	140546206	random_per_pair	0.0	0.0	0.0001138239023269	-0.0001138239023269	PASS	0.0	0.2581980413005236	0.2581980413005236	0.0	PASS	
AMD-PD	1	71822765	74326378	random_per_pair	0.0	0.0	9.832952280819688e-05	-9.832952280819688e-05	PASS	0.0	0.5168490324993316	0.5168490324993316	0.0	PASS	
POAG-CAD	2	177327202	178551958	random_per_pair	0.0	0.0	1.1381095820540625e-05	-1.1381095820540625e-05	PASS	0.0	0.8184332561558979	0.8184332561558979	0.0	PASS	
POAG-CAD	11	1862168	2422034	random_per_pair	0.0	0.0	1.821374964255653e-05	-1.821374964255653e-05	PASS	0.0	0.6718566537458768	0.6718566537458768	0.0	PASS	
POAG-CAD	17	1481897	2613925	high_signal_atlas	0.0	0.0	-0.0006007450401361	0.0006007450401361	PASS	0.0	5.967176616041336e-14	5.967176616041336e-14	0.0	PASS	
POAG-STROKE	2	156568806	158165818	random_per_pair	0.0	0.0	-2.576978029256809e-05	2.576978029256809e-05	PASS	0.0	0.6854744583743391	0.6854744583743391	0.0	PASS	
POAG-STROKE	3	164820183	167116849	random_per_pair	0.0	0.0	4.04781363400124e-05	-4.04781363400124e-05	PASS	0.0	0.5627508945089024	0.5627508945089024	0.0	PASS	
POAG-STROKE	4	142808503	145021868	high_signal_atlas	0.0	0.0	-0.0003809013220984	0.0003809013220984	PASS	0.0	3.827662494948683e-07	3.827662494948683e-07	0.0	PASS	
POAG-T2D	9	91610543	92342927	random_per_pair	0.0	0.0	-9.545223694551218e-05	9.545223694551218e-05	PASS	0.0	0.1402902022489203	0.1402902022489203	0.0	PASS	
POAG-T2D	14	72214790	72888979	random_per_pair	0.0	0.0	-1.8295089380084565e-05	1.8295089380084565e-05	PASS	0.0	0.7799699406793259	0.7799699406793259	0.0	PASS	
POAG-CKD	2	192696255	195109845	random_per_pair	0.0	0.0	5.006346274046999e-06	-5.006346274046999e-06	PASS	0.0	0.941058998988551	0.941058998988551	0.0	PASS	
POAG-CKD	18	5855598	6630394	random_per_pair	0.0	0.0	9.230767568399372e-06	-9.230767568399372e-06	PASS	0.0	0.9067558619355202	0.9067558619355202	0.0	PASS	
POAG-AD	5	85316429	86490293	random_per_pair	0.0	0.0	7.920599192311847e-06	-7.920599192311847e-06	PASS	0.0	0.8704100671514466	0.8704100671514466	0.0	PASS	
POAG-AD	8	81331077	83726996	random_per_pair	0.0	0.0	-3.363473195726828e-05	3.363473195726828e-05	PASS	0.0	0.658225607478258	0.658225607478258	0.0	PASS	
POAG-PD	20	3655943	4051325	random_per_pair	0.0	0.0	-5.330126645943415e-05	5.330126645943415e-05	PASS	0.0	0.3967801964300385	0.3967801964300385	0.0	PASS	
POAG-PD	1	116884519	118837474	random_per_pair	0.0	0.0	-3.041264928913664e-05	3.041264928913664e-05	PASS	0.0	0.7673753302418285	0.7673753302418285	0.0	PASS	
CAT-CAD	18	60823554	61439643	random_per_pair	0.0	0.0	-6.773772839196223e-06	6.773772839196223e-06	PASS	0.0	0.7205252604776463	0.7205252604776463	0.0	PASS	
CAT-CAD	20	56679960	57319010	random_per_pair	0.0	0.0	1.936480099706497e-06	-1.936480099706497e-06	PASS	0.0	0.9338586685130056	0.9338586685130056	0.0	PASS	
