pair	rank_within_pair	chr	start	end	region_id	rho	SE_rho	P	P_rho	q_atlas	q_pair	direction	h2_ocular	h2_systemic	m	atlas_fdr_significant
AMD-CAD	1	5	120963248	121481183	5:120963248-121481183	-0.0003562910341955	5.651179378128724e-05	2.887154338160173e-10	2.887154338160173e-10	3.94366034897092e-06	6.536517421594633e-07	NEGATIVE	0.0012320333422269	0.0001045998389186	147	YES
AMD-CAD	2	12	110112932	113027651	12:110112932-113027651	0.0006148989548753	0.0001182603487219	1.997865008981876e-07	1.997865008981876e-07	0.0010233564042257	0.0002261583190167	POSITIVE	0.0013199437191068	0.0002864830985071	566	YES
AMD-CAD	3	7	98152191	100555361	7:98152191-100555361	-0.0003931385560226	7.80248611435468e-05	4.688711944586995e-07	4.688711944586995e-07	0.0019213403806528	0.0003538414614181	NEGATIVE	0.002683083736583	9.773401586610632e-05	665	YES
AMD-CAD	4	16	74730819	75517115	16:74730819-75517115	0.000652618425972	0.0001360179753795	1.602331983473928e-06	1.602331983473928e-06	0.0044438131494795	0.0009069199026462	POSITIVE	0.0014511884288962	0.0003275469297004	293	YES
AMD-STROKE	1	17	3426133	4321755	17:3426133-4321755	-0.0005152675087054	0.0001074590854316	1.626658139542996e-06	1.626658139542996e-06	0.0044438131494795	0.0036811273697858	NEGATIVE	0.0009646734859904	0.0002335895831174	384	YES
AMD-STROKE	2	12	110112932	113027651	12:110112932-113027651	0.0006560101076822	0.0001485582037035	1.0061583069178276e-05	1.0061583069178276e-05	0.0196335024289898	0.0113846812427752	POSITIVE	0.0013183768150806	0.0003505139625879	565	YES
AMD-T2D	1	4	103388441	104802530	4:103388441-104802530	0.0004845007260895	9.8616166414304e-05	8.969559502442232e-07	8.969559502442232e-07	0.0028273431483929	0.0020298113154026	POSITIVE	0.0009592507164524	0.0003213686067908	433	YES
AMD-T2D	2	17	3426133	4321755	17:3426133-4321755	-0.0006867881247124	0.0001585447744415	1.4787885448332943e-05	1.4787885448332943e-05	0.0233068449962225	0.0122155137853954	NEGATIVE	0.0009646477546385	0.0005056613085658	384	YES
AMD-T2D	3	5	73508509	75240469	5:73508509-75240469	0.0005999634302436	0.0001406729411805	1.999446192111661e-05	1.999446192111661e-05	0.0264300987291456	0.0122155137853954	POSITIVE	0.0007030134388524	0.000452742549245	722	YES
AMD-T2D	4	7	104158491	105425027	7:104158491-105425027	0.0005962144578605	0.0001403596863695	2.159171681024379e-05	2.159171681024379e-05	0.0268116779227324	0.0122155137853954	POSITIVE	0.0029912888506616	0.0001131553528153	479	YES
AMD-T2D	5	2	43309247	44048346	2:43309247-44048346	-0.0006783499484874	0.0001618198690399	2.764980298983956e-05	2.764980298983956e-05	0.0314731563032679	0.0125143008332013	NEGATIVE	0.0003744416077615	0.0009735334207187	323	YES
AMD-CKD	1	7	104158491	105425027	7:104158491-105425027	-0.0004883119291701	0.0001065147421692	4.551744122535713e-06	4.551744122535713e-06	0.0109718453325452	0.0103005969492983	NEGATIVE	0.0029680429238526	4.466146968371472e-05	480	YES
AMD-CKD	2	12	110112932	113027651	12:110112932-113027651	0.0004688619412696	0.0001058090031468	9.370565782294758e-06	9.370565782294758e-06	0.0196335024289898	0.0106027951826665	POSITIVE	0.0013169836183131	0.0001472485321904	562	YES
AMD-AD	1	7	104158491	105425027	7:104158491-105425027	0.0002771854451319	7.51436255567645e-05	0.0002253656349877	0.0002253656349877	0.1442973904769683	0.502781182573312	POSITIVE	0.0030388086033394	1.918905474070861e-05	468	NO
AMD-AD	2	22	31535872	32324140	22:31535872-32324140	-0.0002181431481891	6.255229915009344e-05	0.0004877920167955	0.0004877920167955	0.249859265803075	0.502781182573312	NEGATIVE	0.0004898944296365	7.07893635269007e-05	238	NO
AMD-AD	3	7	98152191	100555361	7:98152191-100555361	0.0004249320809813	0.000127734291263	0.0008788484477764	0.0008788484477764	0.3365743148876758	0.502781182573312	POSITIVE	0.0027126207528166	0.0004821581369554	655	NO
AMD-AD	4	2	201572564	202829668	2:201572564-202829668	-0.0002445877906234	7.359985470325705e-05	0.0008898781992448	0.0008898781992448	0.3376428597097539	0.502781182573312	NEGATIVE	0.0008059886364623	5.779207483086369e-05	380	NO
AMD-AD	5	2	43309247	44048346	2:43309247-44048346	-0.0002324864039696	7.679025066177638e-05	0.0024654406765497	0.0024654406765497	0.5708695501981362	0.94961931386747	NEGATIVE	0.0003783257130475	0.0001297432943372	324	NO
AMD-PD	1	7	104158491	105425027	7:104158491-105425027	-0.0004907398412209	0.0001116077338729	1.097544673549841e-05	1.097544673549841e-05	0.0204432661966933	0.0189272657714245	NEGATIVE	0.0029910637549485	5.231151805421579e-05	479	YES
AMD-PD	2	2	68871710	70753882	2:68871710-70753882	-0.0005998845136309	0.0001393584376051	1.672758795530234e-05	1.672758795530234e-05	0.0237098987773341	0.0189272657714245	NEGATIVE	0.001112566573451	0.0002314213167322	809	YES
POAG-CAD	1	17	1481897	2613925	17:1481897-2613925	-0.0006007450401361	8.000546463958235e-05	5.967176616041336e-14	5.967176616041336e-14	2.4452296337214182e-09	1.3509687858717584e-10	NEGATIVE	0.0007561809714604	0.0004577845469271	472	YES
POAG-CAD	2	16	74730819	75517115	16:74730819-75517115	-0.0002679344383509	6.131214089326865e-05	1.2424298556592871e-05	1.2424298556592871e-05	0.0205537196823386	0.010845802310977	NEGATIVE	0.0003982839263158	0.0003282346387782	293	YES
POAG-CAD	3	7	1493090	2479029	7:1493090-2479029	-0.0002053348962016	4.770869057519428e-05	1.6779419799470227e-05	1.6779419799470227e-05	0.0237098987773341	0.010845802310977	NEGATIVE	0.0004568483333739	8.722897955169408e-05	317	YES
POAG-CAD	4	10	99554895	100240681	10:99554895-100240681	-0.0001791143295676	4.190361955036389e-05	1.916219489571908e-05	1.916219489571908e-05	0.0261742807478925	0.010845802310977	NEGATIVE	0.0002619574127017	0.0001061729533657	333	YES
POAG-STROKE	1	4	142808503	145021868	4:142808503-145021868	-0.0003809013220984	7.501993550682425e-05	3.827662494948683e-07	3.827662494948683e-07	0.0017427772635334	0.0008673483213553	NEGATIVE	0.0006628037132966	0.0001515633854938	627	YES
POAG-T2D	1	16	60291	596605	16:60291-596605	-0.000228479108544	5.230759984944927e-05	1.2539484407693568e-05	1.2539484407693568e-05	0.0205537196823386	0.0235751493562618	NEGATIVE	0.0004398982644918	0.0002580081649389	208	YES
POAG-T2D	2	9	125545194	126926376	9:125545194-126926376	-0.0003856203292119	9.06116864809502e-05	2.083530654552527e-05	2.083530654552527e-05	0.0266809122382042	0.0235751493562618	NEGATIVE	0.0003638056916411	0.0004153754965975	447	YES
POAG-T2D	3	5	111963025	112396750	5:111963025-112396750	-0.0001424130227632	3.4681114758879824e-05	4.0194888653721513e-05	4.0194888653721513e-05	0.041177653681305	0.0303203443411239	NEGATIVE	0.0002005060350147	8.221615470330998e-05	155	YES
POAG-CKD	1	7	77102731	77953248	7:77102731-77953248	-0.0002961934225466	7.161947316002928e-05	3.53943821930324e-05	3.53943821930324e-05	0.0381681840396337	0.038990860138523	NEGATIVE	0.0002140961399259	0.0001961644576478	409	YES
POAG-CKD	2	4	142808503	145021868	4:142808503-145021868	-0.0003252435019551	8.029299709002872e-05	5.106285200692275e-05	5.106285200692275e-05	0.0472529339623195	0.038990860138523	NEGATIVE	0.0006632315876394	0.0001408865453211	627	YES
POAG-CKD	3	1	154547292	156334116	1:154547292-156334116	0.0003302425462261	8.158666616007295e-05	5.171201609883693e-05	5.171201609883693e-05	0.0472529339623195	0.038990860138523	POSITIVE	0.000516098822036	0.0001963846227219	551	YES
POAG-AD	1	2	70756057	71704491	2:70756057-71704491	0.0002702082338293	7.066525000336864e-05	0.0001314222145954	0.0001314222145954	0.0979167183580054	0.2971456272001994	POSITIVE	0.000592350383562	0.0001091339991599	464	NO
POAG-AD	2	12	106156001	107521770	12:106156001-107521770	-0.000284947085292	8.290462538180087e-05	0.0005880937718796	0.0005880937718796	0.2794321984745671	0.6437269864377683	NEGATIVE	0.0010518190217661	0.0001431038573613	606	NO
POAG-AD	3	4	112204259	114902479	4:112204259-114902479	-0.000269072426397	8.180852044304791e-05	0.0010052567373568	0.0010052567373568	0.3613457068719907	0.6437269864377683	NEGATIVE	0.0007142859466568	0.0001780124368969	1022	NO
POAG-AD	4	22	38473398	39302783	22:38473398-39302783	0.0002072537014666	6.380056636974293e-05	0.0011603079514986	0.0011603079514986	0.3870113002147757	0.6437269864377683	POSITIVE	0.0006175403969365	6.37063979658965e-05	269	NO
POAG-AD	5	10	81882370	82378624	10:81882370-82378624	0.0002715206640948	8.512062237076512e-05	0.0014235448616492	0.0014235448616492	0.4289266275048597	0.6437269864377683	POSITIVE	0.0002880165425247	0.0003062696493135	275	NO
POAG-PD	1	2	239123082	239801883	2:239123082-239801883	-0.0003014684104856	8.944815646182818e-05	0.0007508246332135	0.0007508246332135	0.3196317209542843	0.9999528606169376	NEGATIVE	0.0002940055774525	0.0001691099571696	289	NO
POAG-PD	2	13	72959394	73795534	13:72959394-73795534	0.0002436569433121	7.397593548252256e-05	0.0009886653666088	0.0009886653666088	0.3602163366862196	0.9999528606169376	POSITIVE	0.0006963905733706	-1.8560647932161925e-05	346	NO
POAG-PD	3	10	75700056	78638957	10:75700056-78638957	0.0003721113771718	0.0001183193749117	0.0016610149820345	0.0016610149820345	0.4725053698640974	0.9999528606169376	POSITIVE	0.0010195473541273	0.0002896725189323	890	NO
POAG-PD	4	2	151191481	152490219	2:151191481-152490219	-0.0003017318064388	9.675580111742468e-05	0.0018178153323618	0.0018178153323618	0.4983699975078496	0.9999528606169376	NEGATIVE	0.0004779690514923	0.0001299576379679	540	NO
POAG-PD	5	11	120173354	121660636	11:120173354-121660636	0.0003173518062439	0.0001048228519679	0.0024658087360308	0.0024658087360308	0.5708695501981362	0.9999528606169376	POSITIVE	0.0015210345785926	0.0001453473233819	711	NO
CAT-CAD	1	11	110702636	111981853	11:110702636-111981853	0.0001328932334462	2.468535836767474e-05	7.305771740181531e-08	7.305771740181531e-08	0.0004989598572819	0.0001653296144803	POSITIVE	0.0002415673663175	6.954675263982484e-05	466	YES
CAT-CAD	2	1	175385076	176416712	1:175385076-176416712	0.000104141607862	2.277913208617152e-05	4.835552212060869e-06	4.835552212060869e-06	0.0110084032525461	0.0054714273279468	POSITIVE	0.0001715475557644	5.568562946754823e-05	367	YES
CAT-CAD	3	16	74730819	75517115	16:74730819-75517115	0.0001129640486781	2.6196037440445128e-05	1.615963624290705e-05	1.615963624290705e-05	0.0237098987773341	0.0121897522725662	POSITIVE	-4.517521475113943e-06	0.0003282784527281	293	YES
CAT-CAD	4	7	98152191	100555361	7:98152191-100555361	0.0001082123379972	2.5797391767481344e-05	2.732320983783748e-05	2.732320983783748e-05	0.0314731563032679	0.0154581059657565	POSITIVE	8.437652194507419e-05	9.799955925004122e-05	663	YES
CAT-STROKE	1	17	17299591	18446092	17:17299591-18446092	0.0001787233093715	4.039382806482424e-05	9.665684731057544e-06	9.665684731057544e-06	0.0196335024289898	0.013240404196863	POSITIVE	0.0002082825831952	0.0001483493567293	377	YES
CAT-STROKE	2	10	12799286	13718384	10:12799286-13718384	-0.0002443768914323	5.5757131176327696e-05	1.1711989559365834e-05	1.1711989559365834e-05	0.0205537196823386	0.013240404196863	NEGATIVE	0.0002782095903601	0.0001317275328892	591	YES
CAT-T2D	1	4	5971634	7135912	4:5971634-7135912	0.0003972937806551	6.624903365102798e-05	2.010273288601159e-09	2.010273288601159e-09	2.0594244705074573e-05	4.7140908617697176e-06	POSITIVE	0.0001166838976264	0.0017366829161269	2584	YES
CAT-T2D	2	17	17299591	18446092	17:17299591-18446092	0.0002213939581042	4.205409596245898e-05	1.4056830862513236e-07	1.4056830862513236e-07	0.0008228868786915	0.0001648163418629	POSITIVE	0.0002121207144587	0.0002667986716109	1250	YES
CAT-T2D	3	22	44317416	44818986	22:44317416-44818986	-0.0002150881090289	4.337917224465674e-05	7.110291472129629e-07	7.110291472129629e-07	0.0024280460328743	0.0005557877834047	NEGATIVE	7.590073986704994e-05	0.0002789144750479	1345	YES
CAT-T2D	4	17	46828412	48027295	17:46828412-48027295	0.0002228325466513	5.303188850114406e-05	2.6473137923746302e-05	2.6473137923746302e-05	0.0314731563032679	0.0144784412694396	POSITIVE	0.000113077758674	0.0006292649755352	1552	YES
CAT-T2D	5	2	43309247	44048346	2:43309247-44048346	-0.0001797901249829	4.314674646880475e-05	3.087087690712068e-05	3.087087690712068e-05	0.0341899133486484	0.0144784412694396	NEGATIVE	3.4464140823432885e-05	0.0010919153244904	1333	YES
CAT-T2D	6	4	103388441	104802530	4:103388441-104802530	0.0001431518936158	3.540749325365717e-05	5.2775446412774126e-05	5.2775446412774126e-05	0.0472529339623195	0.0176811396557021	POSITIVE	9.64382737984144e-05	0.0003047739875301	1909	YES
CAT-T2D	7	4	94230511	95596188	4:94230511-95596188	-0.0001375879505063	3.403144807850664e-05	5.277952136030489e-05	5.277952136030489e-05	0.0472529339623195	0.0176811396557021	NEGATIVE	6.409829065659994e-05	0.0003162592338921	2094	YES
CAT-CKD	1	17	17299591	18446092	17:17299591-18446092	-0.0001709140077804	3.432578445440515e-05	6.385665379867472e-07	6.385665379867472e-07	0.0023788345085109	0.0014967999650409	NEGATIVE	0.0002109355431535	0.0001166167225605	1298	YES
CAT-AD	1	1	206706419	208158787	1:206706419-208158787	-0.0002848402193571	5.158610971556123e-05	3.3583921723340934e-08	3.3583921723340934e-08	0.0002752403888758	7.875429644123449e-05	NEGATIVE	0.0003664725708739	0.0005681530750811	2010	YES
CAT-AD	2	11	59620206	61870732	11:59620206-61870732	-0.0002600201408	5.515789417167621e-05	2.4277467720154066e-06	2.4277467720154066e-06	0.0062177629514779	0.002846533090188	NEGATIVE	2.8564767182189324e-05	0.0008893076840069	3016	YES
CAT-AD	3	7	98152191	100555361	7:98152191-100555361	-0.0001423302020509	3.451651259845421e-05	3.730944928345874e-05	3.730944928345874e-05	0.0392017080189121	0.0248776123115594	NEGATIVE	0.0001013474245309	0.0004338384943987	2580	YES
CAT-AD	4	2	26894589	28597305	2:26894589-28597305	0.0001155461760498	2.857850671996421e-05	5.2745837231481874e-05	5.2745837231481874e-05	0.0472529339623195	0.0248776123115594	POSITIVE	0.0002725238571965	3.851606216568797e-05	1717	YES
CAT-AD	5	2	202830132	204814896	2:202830132-204814896	0.0001276638548397	3.158594243577907e-05	5.304394949159796e-05	5.304394949159796e-05	0.0472529339623195	0.0248776123115594	POSITIVE	6.009104970644717e-05	0.0001714131605369	2089	YES
CAT-PD	1	17	14860784	16319512	17:14860784-16319512	-0.0004103230473073	6.415672248043504e-05	1.5988040922255562e-10	1.5988040922255562e-10	3.275789704560942e-06	3.616494856614208e-07	NEGATIVE	0.0002904175510647	0.0006694065338428	489	YES
