priority_rank	pair	ocular_trait	systemic_trait	chr	start	end	region_id	rho	SE_rho	Z_rho	P	P_rho	q_atlas	q_pair	direction	tier	tier_rank
1	AMD-CAD	AMD	CAD	5	120963248	121481183	5:120963248-121481183	-0.0003562910341955	5.651179378128724e-05	-6.304719959419846	2.887154338160173e-10	2.887154338160173e-10	3.94366034897092e-06	6.536517421594633e-07	NEGATIVE	TIER1_HIDDEN_MIXED	1
2	CAT-AD	CAT	AD	1	206706419	208158787	1:206706419-208158787	-0.0002848402193571	5.158610971556123e-05	-5.521645670271902	3.3583921723340934e-08	3.3583921723340934e-08	0.0002752403888758	7.875429644123449e-05	NEGATIVE	TIER1_HIDDEN_MIXED	2
3	AMD-CAD	AMD	CAD	12	110112932	113027651	12:110112932-113027651	0.0006148989548753	0.0001182603487219	5.199536121114976	1.997865008981876e-07	1.997865008981876e-07	0.0010233564042257	0.0002261583190167	POSITIVE	TIER1_HIDDEN_MIXED	3
4	AMD-CAD	AMD	CAD	7	98152191	100555361	7:98152191-100555361	-0.0003931385560226	7.80248611435468e-05	-5.038631921424641	4.688711944586995e-07	4.688711944586995e-07	0.0019213403806528	0.0003538414614181	NEGATIVE	TIER1_HIDDEN_MIXED	4
5	AMD-T2D	AMD	T2D	4	103388441	104802530	4:103388441-104802530	0.0004845007260895	9.8616166414304e-05	4.912994934867237	8.969559502442232e-07	8.969559502442232e-07	0.0028273431483929	0.0020298113154026	POSITIVE	TIER1_HIDDEN_MIXED	5
6	AMD-CAD	AMD	CAD	16	74730819	75517115	16:74730819-75517115	0.000652618425972	0.0001360179753795	4.798030731974659	1.602331983473928e-06	1.602331983473928e-06	0.0044438131494795	0.0009069199026462	POSITIVE	TIER1_HIDDEN_MIXED	6
7	AMD-STROKE	AMD	STROKE	17	3426133	4321755	17:3426133-4321755	-0.0005152675087054	0.0001074590854316	-4.795011111768961	1.626658139542996e-06	1.626658139542996e-06	0.0044438131494795	0.0036811273697858	NEGATIVE	TIER1_HIDDEN_MIXED	7
8	CAT-AD	CAT	AD	11	59620206	61870732	11:59620206-61870732	-0.0002600201408	5.515789417167621e-05	-4.714105654409144	2.4277467720154066e-06	2.4277467720154066e-06	0.0062177629514779	0.002846533090188	NEGATIVE	TIER1_HIDDEN_MIXED	8
9	AMD-CKD	AMD	CKD	7	104158491	105425027	7:104158491-105425027	-0.0004883119291701	0.0001065147421692	-4.584453937785892	4.551744122535713e-06	4.551744122535713e-06	0.0109718453325452	0.0103005969492983	NEGATIVE	TIER1_HIDDEN_MIXED	9
10	AMD-CKD	AMD	CKD	12	110112932	113027651	12:110112932-113027651	0.0004688619412696	0.0001058090031468	4.431210268740603	9.370565782294758e-06	9.370565782294758e-06	0.0196335024289898	0.0106027951826665	POSITIVE	TIER1_HIDDEN_MIXED	10
11	CAT-STROKE	CAT	STROKE	17	17299591	18446092	17:17299591-18446092	0.0001787233093715	4.039382806482424e-05	4.424520228305271	9.665684731057544e-06	9.665684731057544e-06	0.0196335024289898	0.013240404196863	POSITIVE	TIER1_HIDDEN_MIXED	11
12	AMD-STROKE	AMD	STROKE	12	110112932	113027651	12:110112932-113027651	0.0006560101076822	0.0001485582037035	4.41584571789374	1.0061583069178276e-05	1.0061583069178276e-05	0.0196335024289898	0.0113846812427752	POSITIVE	TIER1_HIDDEN_MIXED	12
13	CAT-STROKE	CAT	STROKE	10	12799286	13718384	10:12799286-13718384	-0.0002443768914323	5.5757131176327696e-05	-4.382881369191622	1.1711989559365834e-05	1.1711989559365834e-05	0.0205537196823386	0.013240404196863	NEGATIVE	TIER1_HIDDEN_MIXED	13
14	AMD-T2D	AMD	T2D	17	3426133	4321755	17:3426133-4321755	-0.0006867881247124	0.0001585447744415	-4.331824414469216	1.4787885448332943e-05	1.4787885448332943e-05	0.0233068449962225	0.0122155137853954	NEGATIVE	TIER1_HIDDEN_MIXED	14
15	AMD-T2D	AMD	T2D	5	73508509	75240469	5:73508509-75240469	0.0005999634302436	0.0001406729411805	4.264952628476692	1.999446192111661e-05	1.999446192111661e-05	0.0264300987291456	0.0122155137853954	POSITIVE	TIER1_HIDDEN_MIXED	15
16	AMD-T2D	AMD	T2D	7	104158491	105425027	7:104158491-105425027	0.0005962144578605	0.0001403596863695	4.247761399885374	2.159171681024379e-05	2.159171681024379e-05	0.0268116779227324	0.0122155137853954	POSITIVE	TIER1_HIDDEN_MIXED	16
17	AMD-T2D	AMD	T2D	2	43309247	44048346	2:43309247-44048346	-0.0006783499484874	0.0001618198690399	-4.192006534871193	2.764980298983956e-05	2.764980298983956e-05	0.0314731563032679	0.0125143008332013	NEGATIVE	TIER1_HIDDEN_MIXED	17
18	POAG-CKD	POAG	CKD	7	77102731	77953248	7:77102731-77953248	-0.0002961934225466	7.161947316002928e-05	-4.135654864212337	3.53943821930324e-05	3.53943821930324e-05	0.0381681840396337	0.038990860138523	NEGATIVE	TIER1_HIDDEN_MIXED	18
19	CAT-AD	CAT	AD	7	98152191	100555361	7:98152191-100555361	-0.0001423302020509	3.451651259845421e-05	-4.123539469548674	3.730944928345874e-05	3.730944928345874e-05	0.0392017080189121	0.0248776123115594	NEGATIVE	TIER1_HIDDEN_MIXED	19
20	POAG-CKD	POAG	CKD	4	142808503	145021868	4:142808503-145021868	-0.0003252435019551	8.029299709002872e-05	-4.050708202988362	5.106285200692275e-05	5.106285200692275e-05	0.0472529339623195	0.038990860138523	NEGATIVE	TIER1_HIDDEN_MIXED	20
21	POAG-CKD	POAG	CKD	1	154547292	156334116	1:154547292-156334116	0.0003302425462261	8.158666616007295e-05	4.04775144970582	5.171201609883693e-05	5.171201609883693e-05	0.0472529339623195	0.038990860138523	POSITIVE	TIER1_HIDDEN_MIXED	21
22	CAT-AD	CAT	AD	2	26894589	28597305	2:26894589-28597305	0.0001155461760498	2.857850671996421e-05	4.043114539958885	5.2745837231481874e-05	5.2745837231481874e-05	0.0472529339623195	0.0248776123115594	POSITIVE	TIER1_HIDDEN_MIXED	22
23	CAT-AD	CAT	AD	2	202830132	204814896	2:202830132-204814896	0.0001276638548397	3.158594243577907e-05	4.041793437041422	5.304394949159796e-05	5.304394949159796e-05	0.0472529339623195	0.0248776123115594	POSITIVE	TIER1_HIDDEN_MIXED	23
24	CAT-CAD	CAT	CAD	11	110702636	111981853	11:110702636-111981853	0.0001328932334462	2.468535836767474e-05	5.383484066418195	7.305771740181531e-08	7.305771740181531e-08	0.0004989598572819	0.0001653296144803	POSITIVE	TIER2_GLOBAL_LOCAL_CONCORDANT	1
25	CAT-CAD	CAT	CAD	1	175385076	176416712	1:175385076-176416712	0.000104141607862	2.277913208617152e-05	4.571798761605189	4.835552212060869e-06	4.835552212060869e-06	0.0110084032525461	0.0054714273279468	POSITIVE	TIER2_GLOBAL_LOCAL_CONCORDANT	2
26	CAT-CAD	CAT	CAD	16	74730819	75517115	16:74730819-75517115	0.0001129640486781	2.6196037440445128e-05	4.31225710892023	1.615963624290705e-05	1.615963624290705e-05	0.0237098987773341	0.0121897522725662	POSITIVE	TIER2_GLOBAL_LOCAL_CONCORDANT	3
27	CAT-CAD	CAT	CAD	7	98152191	100555361	7:98152191-100555361	0.0001082123379972	2.5797391767481344e-05	4.1947007268233225	2.732320983783748e-05	2.732320983783748e-05	0.0314731563032679	0.0154581059657565	POSITIVE	TIER2_GLOBAL_LOCAL_CONCORDANT	4
28	POAG-CAD	POAG	CAD	17	1481897	2613925	17:1481897-2613925	-0.0006007450401361	8.000546463958235e-05	-7.508800090623861	5.967176616041336e-14	5.967176616041336e-14	2.4452296337214182e-09	1.3509687858717584e-10	NEGATIVE	TIER3_OTHER	1
29	CAT-PD	CAT	PD	17	14860784	16319512	17:14860784-16319512	-0.0004103230473073	6.415672248043504e-05	-6.395636052518586	1.5988040922255562e-10	1.5988040922255562e-10	3.275789704560942e-06	3.616494856614208e-07	NEGATIVE	TIER3_OTHER	2
30	CAT-T2D	CAT	T2D	4	5971634	7135912	4:5971634-7135912	0.0003972937806551	6.624903365102798e-05	5.996974729440981	2.010273288601159e-09	2.010273288601159e-09	2.0594244705074573e-05	4.7140908617697176e-06	POSITIVE	TIER3_OTHER	3
