genomic_region	chr	region_start	region_end	n_loci	n_pairs	pairs	n_negative_loci	n_positive_loci	lead_variants	mapped_genes	biological_support_status
12:110112932-113027651	12	110112932	113027651	8	3	AMD-CAD;AMD-CKD;AMD-STROKE	0	8	rs12828640;rs4378452;rs4766453;rs653178;rs7311681;rs848132	ATXN2;CUX2;HECTD4;MYL2	POSITIONAL_OR_XQTL_SUPPORT_ONLY
16:74730819-75517115	16	74730819	75517115	4	3	AMD-CAD;CAT-CAD;POAG-CAD	1	3	rs3851734;rs4888432;rs7202877;rs999675	BCAR1;CFDP1;CHST6;CTRB1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
17:17299591-18446092	17	17299591	18446092	4	3	CAT-CKD;CAT-STROKE;CAT-T2D	1	3	rs11870660;rs12936927;rs75035298;rs8079321	LRRC48;PEMT;SREBF1;TOM1L2	POSITIONAL_OR_XQTL_SUPPORT_ONLY
7:104158491-105425027	7	104158491	105425027	4	3	AMD-CKD;AMD-PD;AMD-T2D	2	2	rs2097942;rs4460308;rs6966728;rs7776707	KMT2E;LHFPL3	POSITIONAL_OR_XQTL_SUPPORT_ONLY
2:43309247-44048346	2	43309247	44048346	5	2	AMD-T2D;CAT-T2D	5	0	rs11904510;rs1549723;rs6544658;rs6722743;rs72790940	HAAO;THADA	POSITIONAL_OR_XQTL_SUPPORT_ONLY
17:3426133-4321755	17	3426133	4321755	3	2	AMD-STROKE;AMD-T2D	3	0	rs1076902;rs2278524;rs2727074	ANKFY1;ATP2A3;ZZEF1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
4:103388441-104802530	4	103388441	104802530	2	2	AMD-T2D;CAT-T2D	0	2	rs11734396;rs228631	BDH2;MANBA	POSITIONAL_OR_XQTL_SUPPORT_ONLY
4:142808503-145021868	4	142808503	145021868	2	2	POAG-CKD;POAG-STROKE	2	0	rs11100780;rs7670439	USP38	POSITIONAL_OR_XQTL_SUPPORT_ONLY
7:98152191-100555361	7	98152191	100555361	2	2	AMD-CAD;CAT-AD	2	0	rs1133790;rs1617502	GATS;ZKSCAN1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
11:59620206-61870732	11	59620206	61870732	3	1	CAT-AD	3	0	rs4939330;rs558678;rs76834192	MS4A2;MS4A4A;OOSP2	POSITIONAL_OR_XQTL_SUPPORT_ONLY
17:1481897-2613925	17	1481897	2613925	2	1	POAG-CAD	2	0	rs7217226;rs9894634	SMG6	POSITIONAL_OR_XQTL_SUPPORT_ONLY
1:206706419-208158787	1	206706419	208158787	2	1	CAT-AD	2	0	rs200114063;rs34626131	C4BPA;CR1L	POSITIONAL_OR_XQTL_SUPPORT_ONLY
4:5971634-7135912	4	5971634	7135912	2	1	CAT-T2D	0	2	rs2269920;rs62283057	PPP2R2C;WFS1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
10:12799286-13718384	10	12799286	13718384	1	1	CAT-STROKE	1	0	rs4750356	AL138764.1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
10:99554895-100240681	10	99554895	100240681	1	1	POAG-CAD	1	0	rs10883050	CRTAC1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
11:110702636-111981853	11	110702636	111981853	1	1	CAT-CAD	0	1	rs10502145	ALG9	POSITIONAL_OR_XQTL_SUPPORT_ONLY
16:60291-596605	16	60291	596605	1	1	POAG-T2D	1	0	rs10903013	ARHGDIG	POSITIONAL_OR_XQTL_SUPPORT_ONLY
17:14860784-16319512	17	14860784	16319512	1	1	CAT-PD	1	0	rs4566208	AC002553.1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
17:46828412-48027295	17	46828412	48027295	1	1	CAT-T2D	0	1	rs1057902	ABI3	POSITIONAL_OR_XQTL_SUPPORT_ONLY
1:175385076-176416712	1	175385076	176416712	1	1	CAT-CAD	0	1	rs2938154	RFWD2	POSITIONAL_OR_XQTL_SUPPORT_ONLY
22:44317416-44818986	22	44317416	44818986	1	1	CAT-T2D	1	0	rs3747207	KIAA1644	POSITIONAL_OR_XQTL_SUPPORT_ONLY
2:202830132-204814896	2	202830132	204814896	1	1	CAT-AD	0	1	rs140750546	ABI2	POSITIONAL_OR_XQTL_SUPPORT_ONLY
2:26894589-28597305	2	26894589	28597305	1	1	CAT-AD	0	1	rs10209020	ABHD1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
4:94230511-95596188	4	94230511	95596188	1	1	CAT-T2D	1	0	rs1509946	ATOH1	POSITIONAL_OR_XQTL_SUPPORT_ONLY
5:120963248-121481183	5	120963248	121481183	1	1	AMD-CAD	1	0	rs11241627	FTMT	POSITIONAL_OR_XQTL_SUPPORT_ONLY
5:73508509-75240469	5	73508509	75240469	1	1	AMD-T2D	0	1	rs34358	ANKDD1B	POSITIONAL_OR_XQTL_SUPPORT_ONLY
7:1493090-2479029	7	1493090	2479029	1	1	POAG-CAD	1	0	rs10278591	AC074389.6	POSITIONAL_OR_XQTL_SUPPORT_ONLY
9:125545194-126926376	9	125545194	126926376	1	1	POAG-T2D	1	0	rs10818834	CRB2	POSITIONAL_OR_XQTL_SUPPORT_ONLY
