tier	pair	hidden_mixed_pair	chr	start	end	SUPERGNOVA_rho	SUPERGNOVA_P	SUPERGNOVA_q	PLACO_lead_SNP	PLACO_P	PLACO_q	PLACO_level	beta1	beta2	effect_product	directional_convergence	fine_mapping_ready	CAT_Finnish_LD_flag
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2099446	1.42423604358893e-05	0.02567122680304377	LEVEL_C_ATLAS_FDR	-0.0533093	0.02224793	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2572023	3.72072607725854e-06	0.009956418111528647	LEVEL_C_ATLAS_FDR	-0.0622152	0.02125232	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2527927	5.65596557741572e-06	0.013456350768315212	LEVEL_C_ATLAS_FDR	-0.0600728	0.02217196	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2572011	3.06641767506855e-06	0.008660040529330917	LEVEL_C_ATLAS_FDR	-0.0604808	0.02233319	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2247762	2.73990938554419e-06	0.007984795706368628	LEVEL_C_ATLAS_FDR	-0.0605166	0.02269469	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs7781442	2.41996050796719e-06	0.007296181141714817	LEVEL_C_ATLAS_FDR	-0.0605213	0.02290176	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2572000	2.13060003443073e-06	0.0066299184843342926	LEVEL_C_ATLAS_FDR	-0.0606997	0.02308766	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2527908	2.51928022847217e-06	0.0075185701512799	LEVEL_C_ATLAS_FDR	-0.0604878	0.02284646	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs1121592	2.78267548747329e-06	0.008083637592085082	LEVEL_C_ATLAS_FDR	-0.0606204	0.0226037	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2527902	2.95725215619541e-06	0.008441576508727735	LEVEL_C_ATLAS_FDR	-0.0604184	0.02257013	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2527900	3.66378285359688e-06	0.00985555770490293	LEVEL_C_ATLAS_FDR	-0.0606876	0.02280657	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2527897	2.84445790853059e-05	0.04145956674604646	LEVEL_C_ATLAS_FDR	-0.0741273	0.0151243	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2107351	2.65171435735531e-05	0.03951965655768677	LEVEL_C_ATLAS_FDR	-0.0745552	0.0150731	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
TIER 2	AMD-CAD	True	7	98152191	100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	rs2527894	3.02438614797449e-05	0.043242078447249456	LEVEL_C_ATLAS_FDR	-0.0742052	0.01499984	NEGATIVE_EFFECT_PRODUCT	DIRECTION_CONCORDANT	CONDITIONAL	NO
