pair	region_id	chr	start	end	full_beta_se_trait1	full_beta_se_trait2	alleles_complete	regional_variant_density	appropriate_ld_reference	ancestry_reference_compatibility	sample_size_available	imputation_quality_available	fine_mapping_ready	CAT_Finnish_LD_flag
AMD-CAD	5:120963248-121481183	5	120963248	121481183	PASS	PASS	PASS	27	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-CAD	7:98152191-100555361	7	98152191	100555361	PASS	PASS	PASS	38	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-CAD	12:110112932-113027651	12	110112932	113027651	PASS	PASS	PASS	181	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-CAD	16:74730819-75517115	16	74730819	75517115	PASS	PASS	PASS	47	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-STROKE	12:110112932-113027651	12	110112932	113027651	PASS	PASS	PASS	126	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-STROKE	17:3426133-4321755	17	3426133	4321755	PASS	PASS	PASS	50	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-T2D	2:43309247-44048346	2	43309247	44048346	PASS	PASS	PASS	30	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-T2D	4:103388441-104802530	4	103388441	104802530	PASS	PASS	PASS	67	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-T2D	5:73508509-75240469	5	73508509	75240469	PASS	PASS	PASS	55	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-T2D	7:104158491-105425027	7	104158491	105425027	PASS	PASS	PASS	75	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-T2D	17:3426133-4321755	17	3426133	4321755	PASS	PASS	PASS	63	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-CKD	7:104158491-105425027	7	104158491	105425027	PASS	PASS	PASS	71	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-CKD	12:110112932-113027651	12	110112932	113027651	PASS	PASS	PASS	22	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
AMD-PD	7:104158491-105425027	7	104158491	105425027	PASS	PASS	PASS	44	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
POAG-CAD	7:1493090-2479029	7	1493090	2479029	PASS	PASS	PASS	24	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
POAG-CAD	10:99554895-100240681	10	99554895	100240681	PASS	PASS	PASS	14	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
POAG-CAD	16:74730819-75517115	16	74730819	75517115	PASS	PASS	PASS	23	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
POAG-CAD	17:1481897-2613925	17	1481897	2613925	PASS	PASS	PASS	69	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
POAG-STROKE	4:142808503-145021868	4	142808503	145021868	PASS	PASS	PASS	59	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
POAG-T2D	9:125545194-126926376	9	125545194	126926376	PASS	PASS	PASS	9	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
POAG-T2D	16:60291-596605	16	60291	596605	PASS	PASS	PASS	5	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
POAG-CKD	4:142808503-145021868	4	142808503	145021868	PASS	PASS	PASS	14	PASS	PASS	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	NO
CAT-CAD	1:175385076-176416712	1	175385076	176416712	PASS	PASS	PASS	27	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-CAD	11:110702636-111981853	11	110702636	111981853	PASS	PASS	PASS	48	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-CAD	16:74730819-75517115	16	74730819	75517115	PASS	PASS	PASS	14	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-STROKE	10:12799286-13718384	10	12799286	13718384	PASS	PASS	PASS	10	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-STROKE	17:17299591-18446092	17	17299591	18446092	PASS	PASS	PASS	102	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-T2D	2:43309247-44048346	2	43309247	44048346	PASS	PASS	PASS	46	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-T2D	4:5971634-7135912	4	5971634	7135912	PASS	PASS	PASS	7	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-T2D	4:94230511-95596188	4	94230511	95596188	PASS	PASS	PASS	105	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-T2D	4:103388441-104802530	4	103388441	104802530	PASS	PASS	PASS	333	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-T2D	17:17299591-18446092	17	17299591	18446092	PASS	PASS	PASS	282	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-T2D	17:46828412-48027295	17	46828412	48027295	PASS	PASS	PASS	133	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-T2D	22:44317416-44818986	22	44317416	44818986	PASS	PASS	PASS	41	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-CKD	17:17299591-18446092	17	17299591	18446092	PASS	PASS	PASS	137	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-AD	1:206706419-208158787	1	206706419	208158787	PASS	PASS	PASS	215	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-AD	2:26894589-28597305	2	26894589	28597305	PASS	PASS	PASS	7	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-AD	2:202830132-204814896	2	202830132	204814896	PASS	PASS	PASS	213	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-AD	7:98152191-100555361	7	98152191	100555361	PASS	PASS	PASS	55	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-AD	11:59620206-61870732	11	59620206	61870732	PASS	PASS	PASS	149	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
CAT-PD	17:14860784-16319512	17	14860784	16319512	PASS	PASS	PASS	104	CONDITIONAL	CONDITIONAL	PASS	NOT_AVAILABLE_IN_FROZEN_SUMSTATS	CONDITIONAL	FINNISH_LD_SENSITIVITY_REQUIRED
