pair	ocular_trait	systemic_trait	LOCAL_CHR	LOCAL_START	LOCAL_END	region_id	rho	P_rho	q_atlas_local	local_direction	N_positive_effect_product	N_negative_effect_product	variant_direction_class	HIDDEN_MIXED_PAIR
AMD-CAD	AMD	CAD	5	120963248	121481183	5:120963248-121481183	-0.0003562910341955	2.8871543381601735e-10	3.94366034897092e-06	NEGATIVE	0	27	VARIANT_NEGATIVE_ONLY	True
AMD-CAD	AMD	CAD	7	98152191	100555361	7:98152191-100555361	-0.0003931385560226	4.688711944586995e-07	0.0019213403806528	NEGATIVE	0	38	VARIANT_NEGATIVE_ONLY	True
AMD-CAD	AMD	CAD	12	110112932	113027651	12:110112932-113027651	0.0006148989548753	1.997865008981876e-07	0.0010233564042257	POSITIVE	181	0	VARIANT_POSITIVE_ONLY	True
AMD-CAD	AMD	CAD	16	74730819	75517115	16:74730819-75517115	0.000652618425972	1.602331983473928e-06	0.0044438131494795	POSITIVE	47	0	VARIANT_POSITIVE_ONLY	True
AMD-STROKE	AMD	STROKE	12	110112932	113027651	12:110112932-113027651	0.0006560101076822	1.0061583069178276e-05	0.0196335024289898	POSITIVE	126	0	VARIANT_POSITIVE_ONLY	True
AMD-STROKE	AMD	STROKE	17	3426133	4321755	17:3426133-4321755	-0.0005152675087054	1.626658139542996e-06	0.0044438131494795	NEGATIVE	0	50	VARIANT_NEGATIVE_ONLY	True
AMD-T2D	AMD	T2D	2	43309247	44048346	2:43309247-44048346	-0.0006783499484874	2.764980298983956e-05	0.0314731563032679	NEGATIVE	0	30	VARIANT_NEGATIVE_ONLY	True
AMD-T2D	AMD	T2D	4	103388441	104802530	4:103388441-104802530	0.0004845007260895	8.969559502442232e-07	0.0028273431483929	POSITIVE	67	0	VARIANT_POSITIVE_ONLY	True
AMD-T2D	AMD	T2D	5	73508509	75240469	5:73508509-75240469	0.0005999634302436	1.999446192111661e-05	0.0264300987291456	POSITIVE	55	0	VARIANT_POSITIVE_ONLY	True
AMD-T2D	AMD	T2D	7	104158491	105425027	7:104158491-105425027	0.0005962144578605	2.159171681024379e-05	0.0268116779227324	POSITIVE	75	0	VARIANT_POSITIVE_ONLY	True
AMD-T2D	AMD	T2D	17	3426133	4321755	17:3426133-4321755	-0.0006867881247124	1.4787885448332943e-05	0.0233068449962225	NEGATIVE	0	63	VARIANT_NEGATIVE_ONLY	True
AMD-CKD	AMD	CKD	7	104158491	105425027	7:104158491-105425027	-0.0004883119291701	4.551744122535713e-06	0.0109718453325452	NEGATIVE	0	71	VARIANT_NEGATIVE_ONLY	True
AMD-CKD	AMD	CKD	12	110112932	113027651	12:110112932-113027651	0.0004688619412696	9.370565782294758e-06	0.0196335024289898	POSITIVE	22	0	VARIANT_POSITIVE_ONLY	True
AMD-PD	AMD	PD	2	68871710	70753882	2:68871710-70753882	-0.0005998845136309	1.672758795530234e-05	0.0237098987773341	NEGATIVE	0	0	NO_VARIANT_LEVEL_SIGNAL	False
AMD-PD	AMD	PD	7	104158491	105425027	7:104158491-105425027	-0.0004907398412209	1.097544673549841e-05	0.0204432661966933	NEGATIVE	0	44	VARIANT_NEGATIVE_ONLY	False
POAG-CAD	POAG	CAD	7	1493090	2479029	7:1493090-2479029	-0.0002053348962016	1.6779419799470227e-05	0.0237098987773341	NEGATIVE	0	24	VARIANT_NEGATIVE_ONLY	False
POAG-CAD	POAG	CAD	10	99554895	100240681	10:99554895-100240681	-0.0001791143295676	1.916219489571908e-05	0.0261742807478925	NEGATIVE	0	14	VARIANT_NEGATIVE_ONLY	False
POAG-CAD	POAG	CAD	16	74730819	75517115	16:74730819-75517115	-0.0002679344383509	1.2424298556592871e-05	0.0205537196823386	NEGATIVE	0	23	VARIANT_NEGATIVE_ONLY	False
POAG-CAD	POAG	CAD	17	1481897	2613925	17:1481897-2613925	-0.0006007450401361	5.967176616041336e-14	2.4452296337214182e-09	NEGATIVE	0	69	VARIANT_NEGATIVE_ONLY	False
POAG-STROKE	POAG	STROKE	4	142808503	145021868	4:142808503-145021868	-0.0003809013220984	3.827662494948683e-07	0.0017427772635334	NEGATIVE	0	59	VARIANT_NEGATIVE_ONLY	False
POAG-T2D	POAG	T2D	5	111963025	112396750	5:111963025-112396750	-0.0001424130227632	4.0194888653721513e-05	0.041177653681305	NEGATIVE	0	0	NO_VARIANT_LEVEL_SIGNAL	False
POAG-T2D	POAG	T2D	9	125545194	126926376	9:125545194-126926376	-0.0003856203292119	2.083530654552527e-05	0.0266809122382042	NEGATIVE	0	9	VARIANT_NEGATIVE_ONLY	False
POAG-T2D	POAG	T2D	16	60291	596605	16:60291-596605	-0.000228479108544	1.2539484407693568e-05	0.0205537196823386	NEGATIVE	0	5	VARIANT_NEGATIVE_ONLY	False
POAG-CKD	POAG	CKD	1	154547292	156334116	1:154547292-156334116	0.0003302425462261	5.171201609883693e-05	0.0472529339623195	POSITIVE	0	0	NO_VARIANT_LEVEL_SIGNAL	True
POAG-CKD	POAG	CKD	4	142808503	145021868	4:142808503-145021868	-0.0003252435019551	5.106285200692275e-05	0.0472529339623195	NEGATIVE	0	14	VARIANT_NEGATIVE_ONLY	True
POAG-CKD	POAG	CKD	7	77102731	77953248	7:77102731-77953248	-0.0002961934225466	3.53943821930324e-05	0.0381681840396337	NEGATIVE	0	0	NO_VARIANT_LEVEL_SIGNAL	True
CAT-CAD	CAT	CAD	1	175385076	176416712	1:175385076-176416712	0.000104141607862	4.835552212060869e-06	0.0110084032525461	POSITIVE	27	0	VARIANT_POSITIVE_ONLY	False
CAT-CAD	CAT	CAD	7	98152191	100555361	7:98152191-100555361	0.0001082123379972	2.732320983783748e-05	0.0314731563032679	POSITIVE	0	0	NO_VARIANT_LEVEL_SIGNAL	False
CAT-CAD	CAT	CAD	11	110702636	111981853	11:110702636-111981853	0.0001328932334462	7.305771740181531e-08	0.0004989598572819	POSITIVE	48	0	VARIANT_POSITIVE_ONLY	False
CAT-CAD	CAT	CAD	16	74730819	75517115	16:74730819-75517115	0.0001129640486781	1.615963624290705e-05	0.0237098987773341	POSITIVE	14	0	VARIANT_POSITIVE_ONLY	False
CAT-STROKE	CAT	STROKE	10	12799286	13718384	10:12799286-13718384	-0.0002443768914323	1.1711989559365834e-05	0.0205537196823386	NEGATIVE	0	10	VARIANT_NEGATIVE_ONLY	True
CAT-STROKE	CAT	STROKE	17	17299591	18446092	17:17299591-18446092	0.0001787233093715	9.665684731057544e-06	0.0196335024289898	POSITIVE	102	0	VARIANT_POSITIVE_ONLY	True
CAT-T2D	CAT	T2D	2	43309247	44048346	2:43309247-44048346	-0.0001797901249829	3.087087690712068e-05	0.0341899133486484	NEGATIVE	0	46	VARIANT_NEGATIVE_ONLY	False
CAT-T2D	CAT	T2D	4	5971634	7135912	4:5971634-7135912	0.0003972937806551	2.010273288601159e-09	2.0594244705074573e-05	POSITIVE	7	0	VARIANT_POSITIVE_ONLY	False
CAT-T2D	CAT	T2D	4	94230511	95596188	4:94230511-95596188	-0.0001375879505063	5.277952136030489e-05	0.0472529339623195	NEGATIVE	0	105	VARIANT_NEGATIVE_ONLY	False
CAT-T2D	CAT	T2D	4	103388441	104802530	4:103388441-104802530	0.0001431518936158	5.2775446412774126e-05	0.0472529339623195	POSITIVE	333	0	VARIANT_POSITIVE_ONLY	False
CAT-T2D	CAT	T2D	17	17299591	18446092	17:17299591-18446092	0.0002213939581042	1.4056830862513236e-07	0.0008228868786915	POSITIVE	282	0	VARIANT_POSITIVE_ONLY	False
CAT-T2D	CAT	T2D	17	46828412	48027295	17:46828412-48027295	0.0002228325466513	2.6473137923746302e-05	0.0314731563032679	POSITIVE	133	0	VARIANT_POSITIVE_ONLY	False
CAT-T2D	CAT	T2D	22	44317416	44818986	22:44317416-44818986	-0.0002150881090289	7.110291472129629e-07	0.0024280460328743	NEGATIVE	0	41	VARIANT_NEGATIVE_ONLY	False
CAT-CKD	CAT	CKD	17	17299591	18446092	17:17299591-18446092	-0.0001709140077804	6.385665379867472e-07	0.0023788345085109	NEGATIVE	0	137	VARIANT_NEGATIVE_ONLY	False
CAT-AD	CAT	AD	1	206706419	208158787	1:206706419-208158787	-0.0002848402193571	3.3583921723340934e-08	0.0002752403888758	NEGATIVE	0	215	VARIANT_NEGATIVE_ONLY	True
